id,zh_TW

Menu_History,歷史
Menu_Settings,設定
Menu_Info,關於

Menu_History_None,暫無歷史紀錄

Menu_Settings_PickerSettings,抽選設定
Menu_Settings_Range,範圍
Menu_Settings_Except,排除
Menu_Settings_Graphics,圖像
Menu_Settings_Resolution,解析度
Menu_Settings_Fullscreen,全螢幕
Menu_Settings_Allow_Cards,使用卡片
Menu_Settings_Others,其他項目
Menu_Settings_Translations,語言翻譯
Menu_Settings_IsTabAtBottom,設定列置底
Menu_Settings_AutoEraseHistory,自動清空歷史

Menu_Info_Info,軟體資訊
Menu_Info_Ver,版本
Menu_Info_Ver_Software,軟體版本
Menu_Info_Ver_Datapack,資料包版本
Menu_Info_Description,描述說明
Menu_Info_Description_Author,作者
Menu_Info_Description_BugReport,錯誤回報

Menu_Settings_Changed,變更將在重新啟動後生效